otm_id,microhabitat,orientation,latitude,longitude,elevation
OTM01,outcrop,N,39.868726,-119.627025,1311.73
OTM21,outcrop,NW,39.868745,-119.627046,1312.04
OTM07,outcrop,E,39.868764,-119.627053,1312.23
OTM16,outcrop,SE,39.868762,-119.627117,1313.17
OTM17,outcrop,Flat,39.86874,-119.627089,1311.31
OTM28,rock,Flat,39.86873,-119.627158,1312.98
OTM13,rock,S,39.868719,-119.627236,1313.99
OTM37,boulder,W,39.8687,-119.627297,1314.49
OTM33,boulder,Flat,39.868677,-119.627336,1314.49
OTM24,rock,E,39.868671,-119.627377,1314.18
OTM02,outcrop,W,39.868645,-119.627366,1313.09
OTM36,ground,Flat,39.868624,-119.627326,1312.38
OTM18,outcrop,NE,39.868651,-119.62731,1312.41
OTM26,small_rock,W,39.868656,-119.627218,1312.28
OTM25,ground,SE,39.868665,-119.627131,1312.19
OTM14,ground,SE,39.868638,-119.627053,1308.81
OTM10,boulder,SE,39.868706,-119.627053,1311.28
OTM32,ground,SE,39.868717,-119.627136,1311.7
OTM05,ground,NE,39.868776,-119.627153,1314.85
OTM15,ground,SE,39.868828,-119.627159,1316.71
OTM06,rock,N,39.868833,-119.627282,1317.33
OTM03,rock,W,39.868792,-119.62731,1316.62
OTM34,outcrop,N,39.868789,-119.627352,1317.74
OTM29,outcrop,N,39.868758,-119.627363,1318.04
OTM11,rock,NW,39.868721,-119.62737,1316.04
OTM27,boulder,N,39.86871,-119.62734,1315.75
OTM35,boulder,Flat,39.868677,-119.627308,1314.04
OTM20,boulder,NE,39.868628,-119.627303,1312.09
OTM30,outcrop,NE,39.868588,-119.627277,1311.31
OTM12,rock,Flat,39.868662,-119.627255,1313.06
OTM08,ground,SE,39.868707,-119.627227,1313.55
OTM04,bush,Flat,39.868737,-119.627237,1313.04
OTM19,ground,Flat,39.86876,-119.627256,1315.51
OTM09,ground,Flat,39.868775,-119.62724,1315.8
OTM38,outcrop,SW,39.868885,-119.627078,1314.56
OTM23,outcrop,W,39.86882,-119.627085,1313.93
